,open,close,high,low,volume,rangePips,candleColor,date,time,symbol,timeFrame
1643,1.36802,1.36531,1.36812,1.364,287107.4063,41,r,2014-07-02,00:00:00,EURUSD,1D
1644,1.36531,1.36088,1.36642,1.3596,358414.1563,68,r,2014-07-03,00:00:00,EURUSD,1D
1645,1.36086,1.35944,1.36112,1.35855,209969.5,25,r,2014-07-04,00:00:00,EURUSD,1D
1646,1.35944,1.35944,1.35944,1.35944,0.0,0,e,2014-07-05,00:00:00,EURUSD,1D
1647,1.35945,1.3588,1.35966,1.3584,7168.1802,12,r,2014-07-06,00:00:00,EURUSD,1D
1648,1.35881,1.36058,1.36091,1.35759,299239.9063,33,g,2014-07-07,00:00:00,EURUSD,1D
1649,1.36058,1.36167,1.36173,1.35882,377918.4688,29,g,2014-07-08,00:00:00,EURUSD,1D
1650,1.36166,1.36432,1.36483,1.36022,309667.1875,46,g,2014-07-09,00:00:00,EURUSD,1D
1651,1.36433,1.36042,1.36507,1.35891,369468.3125,61,r,2014-07-10,00:00:00,EURUSD,1D
1652,1.36041,1.36035,1.36247,1.35919,119086.75,32,r,2014-07-11,00:00:00,EURUSD,1D
1653,1.36035,1.36035,1.36035,1.36035,0.0,0,e,2014-07-12,00:00:00,EURUSD,1D
1654,1.35989,1.36022,1.36076,1.35989,3030.28,8,g,2014-07-13,00:00:00,EURUSD,1D
1655,1.36023,1.36217,1.36402,1.35974,112932.2578,42,g,2014-07-14,00:00:00,EURUSD,1D
1656,1.36217,1.35706,1.36281,1.3562,155028.9844,66,r,2014-07-15,00:00:00,EURUSD,1D
1657,1.35705,1.35281,1.35711,1.3521,119220.3438,50,r,2014-07-16,00:00:00,EURUSD,1D
1658,1.35281,1.35186,1.35401,1.35127,137292.5156,27,r,2014-07-17,00:00:00,EURUSD,1D
1659,1.35186,1.35227,1.3536,1.3491,129850.3516,44,g,2014-07-18,00:00:00,EURUSD,1D
1660,1.35227,1.35227,1.35227,1.35227,0.0,0,e,2014-07-19,00:00:00,EURUSD,1D
1661,1.35283,1.35303,1.35319,1.35247,3605.0601,7,g,2014-07-20,00:00:00,EURUSD,1D
1662,1.35304,1.35221,1.3549,1.3513,100963.2969,36,r,2014-07-21,00:00:00,EURUSD,1D
1663,1.35222,1.34667,1.35296,1.3459,132312.5625,70,r,2014-07-22,00:00:00,EURUSD,1D
1664,1.34668,1.3461,1.34741,1.34549,102439.1484,19,r,2014-07-23,00:00:00,EURUSD,1D
1665,1.3461,1.34652,1.34849,1.34382,115725.5234,46,g,2014-07-24,00:00:00,EURUSD,1D
1666,1.34652,1.34285,1.34756,1.34214,107455.0313,54,r,2014-07-25,00:00:00,EURUSD,1D
1667,1.34285,1.34285,1.34285,1.34285,0.0,0,e,2014-07-26,00:00:00,EURUSD,1D
1668,1.34305,1.34287,1.34343,1.34272,3837.1299,7,r,2014-07-27,00:00:00,EURUSD,1D
1669,1.34288,1.34373,1.34438,1.34269,87460.5313,16,g,2014-07-28,00:00:00,EURUSD,1D
1670,1.34374,1.34098,1.34445,1.34042,112802.7422,40,r,2014-07-29,00:00:00,EURUSD,1D
1671,1.341,1.33945,1.34154,1.33669,145925.6094,48,r,2014-07-30,00:00:00,EURUSD,1D
1672,1.33946,1.33889,1.34006,1.33716,129815.1016,29,r,2014-07-31,00:00:00,EURUSD,1D
1673,1.33889,1.34238,1.34447,1.33785,139674.8125,66,g,2014-08-01,00:00:00,EURUSD,1D
1674,1.34238,1.34238,1.34238,1.34238,0.0,0,e,2014-08-02,00:00:00,EURUSD,1D
1675,1.343,1.3428,1.34329,1.34231,3201.03,9,r,2014-08-03,00:00:00,EURUSD,1D
1676,1.34281,1.34216,1.34311,1.34094,95466.8516,21,r,2014-08-04,00:00:00,EURUSD,1D
1677,1.34216,1.33714,1.34248,1.33582,119616.6172,66,r,2014-08-05,00:00:00,EURUSD,1D
1678,1.33714,1.33796,1.33878,1.3333,154264.125,54,g,2014-08-06,00:00:00,EURUSD,1D
1679,1.33797,1.33572,1.33936,1.33371,145485.8906,56,r,2014-08-07,00:00:00,EURUSD,1D
1680,1.33572,1.34085,1.34324,1.33435,164479.4219,88,g,2014-08-08,00:00:00,EURUSD,1D
1681,1.34085,1.34085,1.34085,1.34085,0.0,0,e,2014-08-09,00:00:00,EURUSD,1D
1682,1.34077,1.34043,1.34113,1.34032,4015.3301,8,r,2014-08-10,00:00:00,EURUSD,1D
1683,1.34042,1.33822,1.34084,1.33803,94561.3594,28,r,2014-08-11,00:00:00,EURUSD,1D
1684,1.33821,1.33648,1.3383,1.3336,114269.3281,47,r,2014-08-12,00:00:00,EURUSD,1D
1685,1.33648,1.33657,1.34151,1.33423,128781.3672,72,g,2014-08-13,00:00:00,EURUSD,1D
1686,1.33657,1.33613,1.34077,1.33484,136878.2969,59,r,2014-08-14,00:00:00,EURUSD,1D
1687,1.33613,1.33976,1.34117,1.33587,131049.3594,53,g,2014-08-15,00:00:00,EURUSD,1D
1688,1.33976,1.33976,1.33976,1.33976,0.0,0,e,2014-08-16,00:00:00,EURUSD,1D
1689,1.33908,1.33895,1.33984,1.3388,4737.21,10,r,2014-08-17,00:00:00,EURUSD,1D
1690,1.33895,1.336,1.33991,1.33529,91114.2266,46,r,2014-08-18,00:00:00,EURUSD,1D
1691,1.336,1.33203,1.33605,1.33133,132255.375,47,r,2014-08-19,00:00:00,EURUSD,1D
1692,1.33203,1.3259,1.33217,1.32553,141635.2188,66,r,2014-08-20,00:00:00,EURUSD,1D
1693,1.32591,1.32785,1.32884,1.32417,126705.0703,46,g,2014-08-21,00:00:00,EURUSD,1D
1694,1.32784,1.32392,1.32966,1.32206,140249.4063,76,r,2014-08-22,00:00:00,EURUSD,1D
1695,1.32392,1.32392,1.32392,1.32392,0.0,0,e,2014-08-23,00:00:00,EURUSD,1D
1696,1.31948,1.31971,1.32043,1.31854,12277.1504,18,g,2014-08-24,00:00:00,EURUSD,1D
1697,1.31973,1.3186,1.32103,1.31789,115468.2266,31,r,2014-08-25,00:00:00,EURUSD,1D
1698,1.31861,1.31697,1.32147,1.31646,146017.2969,50,r,2014-08-26,00:00:00,EURUSD,1D
1699,1.31696,1.31919,1.32098,1.31526,150239.8906,57,g,2014-08-27,00:00:00,EURUSD,1D
1700,1.31919,1.31841,1.32208,1.31597,143868.7656,61,r,2014-08-28,00:00:00,EURUSD,1D
1701,1.3184,1.31311,1.3196,1.31311,136330.3281,64,r,2014-08-29,00:00:00,EURUSD,1D
1702,1.31311,1.31311,1.31311,1.31311,0.0,0,e,2014-08-30,00:00:00,EURUSD,1D
1703,1.31272,1.31266,1.31348,1.31245,8840.8604,10,r,2014-08-31,00:00:00,EURUSD,1D
1704,1.31267,1.31311,1.31454,1.3119,107534.7734,26,g,2014-09-01,00:00:00,EURUSD,1D
1705,1.3131,1.31311,1.31367,1.31102,144090.8125,26,g,2014-09-02,00:00:00,EURUSD,1D
1706,1.31309,1.3148,1.31599,1.3122,158306.625,37,g,2014-09-03,00:00:00,EURUSD,1D
1707,1.3148,1.29298,1.31539,1.29202,218094.6563,233,r,2014-09-04,00:00:00,EURUSD,1D
1708,1.293,1.29505,1.29878,1.29248,166111.0,62,g,2014-09-05,00:00:00,EURUSD,1D
1709,1.29505,1.29505,1.29505,1.29505,0.0,0,e,2014-09-06,00:00:00,EURUSD,1D
1710,1.29556,1.29518,1.29583,1.29491,16774.0508,9,r,2014-09-07,00:00:00,EURUSD,1D
1711,1.29518,1.28912,1.2959,1.28814,183427.6563,77,r,2014-09-08,00:00:00,EURUSD,1D
1712,1.28912,1.2941,1.29574,1.28594,205611.6563,97,g,2014-09-09,00:00:00,EURUSD,1D
1713,1.29409,1.29167,1.29629,1.28838,199871.3281,79,r,2014-09-10,00:00:00,EURUSD,1D
1714,1.29166,1.29224,1.29517,1.2897,200440.7344,54,g,2014-09-11,00:00:00,EURUSD,1D
1715,1.29224,1.29616,1.29793,1.29088,180754.6563,70,g,2014-09-12,00:00:00,EURUSD,1D
1716,1.29616,1.29616,1.29616,1.29616,0.0,0,e,2014-09-13,00:00:00,EURUSD,1D
1717,1.29719,1.29595,1.29727,1.29587,11712.7695,13,r,2014-09-14,00:00:00,EURUSD,1D
1718,1.29595,1.29384,1.29691,1.29086,174640.5156,60,r,2014-09-15,00:00:00,EURUSD,1D
1719,1.29385,1.29579,1.2995,1.29223,197708.9531,72,g,2014-09-16,00:00:00,EURUSD,1D
1720,1.29579,1.28488,1.29813,1.28344,193535.125,146,r,2014-09-17,00:00:00,EURUSD,1D
1721,1.28489,1.29202,1.29302,1.28485,194257.0313,81,g,2014-09-18,00:00:00,EURUSD,1D
1722,1.29202,1.28279,1.29288,1.28275,185911.0625,101,r,2014-09-19,00:00:00,EURUSD,1D
1723,1.28279,1.28279,1.28279,1.28279,0.0,0,e,2014-09-20,00:00:00,EURUSD,1D
1724,1.28331,1.28398,1.28442,1.28257,8051.0801,18,g,2014-09-21,00:00:00,EURUSD,1D
1725,1.28396,1.28501,1.28677,1.28162,147082.7031,51,g,2014-09-22,00:00:00,EURUSD,1D
1726,1.28501,1.28488,1.29012,1.28394,167392.4375,61,r,2014-09-23,00:00:00,EURUSD,1D
1727,1.28489,1.27767,1.28636,1.27741,172227.4531,89,r,2014-09-24,00:00:00,EURUSD,1D
1728,1.27768,1.2755,1.27832,1.2697,190549.6563,86,r,2014-09-25,00:00:00,EURUSD,1D
1729,1.27549,1.26809,1.276,1.26769,156861.2656,83,r,2014-09-26,00:00:00,EURUSD,1D
1730,1.26809,1.26809,1.26809,1.26809,0.0,0,e,2014-09-27,00:00:00,EURUSD,1D
1731,1.26808,1.26753,1.26834,1.26664,9593.6201,17,r,2014-09-28,00:00:00,EURUSD,1D
1732,1.26755,1.269,1.27147,1.26636,178858.2344,51,g,2014-09-29,00:00:00,EURUSD,1D
1733,1.26898,1.26279,1.27022,1.2571,194596.3438,131,r,2014-09-30,00:00:00,EURUSD,1D
1734,1.2628,1.26216,1.26396,1.25836,199788.6406,56,r,2014-10-01,00:00:00,EURUSD,1D
1735,1.26216,1.26681,1.26987,1.26138,243421.6563,84,g,2014-10-02,00:00:00,EURUSD,1D
1736,1.26681,1.25142,1.2669,1.25005,178240.4531,168,r,2014-10-03,00:00:00,EURUSD,1D
1737,1.25142,1.25142,1.25142,1.25142,0.0,0,e,2014-10-04,00:00:00,EURUSD,1D
